point_id,point_type,outcode,postcode,longitude,latitude
C_141,customer,CF64,CF64 1EN,-3.175464,51.440643
C_142,customer,CF3,CF3 0AY,-3.101851,51.527142
C_143,customer,CF24,CF24 0AJ,-3.157089,51.484411
C_144,customer,CF5,CF5 1FR,-3.21102,51.484801
C_145,customer,CF3,CF3 0DS,-3.098952,51.530091
C_146,customer,CF64,CF64 1HL,-3.17447,51.442856
C_147,customer,CF64,CF64 1AE,-3.171107,51.439059
C_148,customer,CF14,CF14 0GB,-3.181911,51.535912
C_149,customer,CF11,CF11 0JN,-3.178633,51.45365
C_150,customer,CF14,CF14 0RQ,-3.169083,51.539412
C_151,customer,CF14,CF14 0NF,-3.178233,51.521355
C_152,customer,CF23,CF23 5BU,-3.158774,51.494105
C_153,customer,CF24,CF24 0SP,-3.166209,51.482881
C_154,customer,CF11,CF11 0SG,-3.188429,51.450125
C_155,customer,CF3,CF3 0EH,-3.102144,51.524981
C_156,customer,CF10,CF10 1FS,-3.180492,51.476633
C_157,customer,CF14,CF14 0AG,-3.160178,51.536857
C_158,customer,CF5,CF5 1GD,-3.213913,51.486884
C_159,customer,CF3,CF3 0FJ,-3.103397,51.518351
C_160,customer,CF64,CF64 1EF,-3.174784,51.441639
C_161,customer,CF23,CF23 5BD,-3.162333,51.49585
C_162,customer,CF14,CF14 0RJ,-3.178259,51.530706
C_163,customer,CF5,CF5 1BD,-3.216635,51.482585
C_164,customer,CF3,CF3 0BZ,-3.10594,51.525772
C_165,customer,CF24,CF24 0AA,-3.167912,51.48415
C_166,customer,CF3,CF3 0DD,-3.103052,51.526762
C_167,customer,CF24,CF24 0HU,-3.160425,51.481374
C_168,customer,CF5,CF5 1EP,-3.213857,51.485329
C_169,customer,CF24,CF24 0SZ,-3.162866,51.485082
C_170,customer,CF14,CF14 0AP,-3.164684,51.53995
C_171,customer,CF23,CF23 5DU,-3.158255,51.497491
C_172,customer,CF5,CF5 1DG,-3.209669,51.488169
C_173,customer,CF14,CF14 0FJ,-3.175886,51.544362
C_174,customer,CF14,CF14 0BQ,-3.164288,51.537445
C_175,customer,CF3,CF3 0HJ,-3.09435,51.525764
C_176,customer,CF10,CF10 1EF,-3.174922,51.478397
C_177,customer,CF24,CF24 0HP,-3.159518,51.482543
C_178,customer,CF14,CF14 0RG,-3.17664,51.532206
C_179,customer,CF5,CF5 1GF,-3.21469,51.488513
C_180,customer,CF3,CF3 0AH,-3.110082,51.523009
C_181,customer,CF3,CF3 0AU,-3.095843,51.520697
C_182,customer,CF3,CF3 0HG,-3.094904,51.526614
C_183,customer,CF64,CF64 1EY,-3.178129,51.44076
C_184,customer,CF24,CF24 0DZ,-3.164775,51.482554
C_185,customer,CF5,CF5 1EG,-3.217145,51.483883
C_186,customer,CF24,CF24 0TP,-3.167071,51.484482
C_187,customer,CF23,CF23 5EP,-3.173333,51.500084
C_188,customer,CF3,CF3 0FE,-3.087219,51.528348
C_189,customer,CF14,CF14 0RP,-3.154515,51.547244
C_190,customer,CF10,CF10 1EB,-3.179424,51.479305
C_191,customer,CF23,CF23 5BN,-3.159582,51.494718
C_192,customer,CF24,CF24 0EH,-3.164499,51.483582
C_193,customer,CF64,CF64 1ET,-3.176348,51.440886
C_194,customer,CF23,CF23 5AZ,-3.161818,51.49992
C_195,customer,CF3,CF3 0HE,-3.096773,51.525796
C_196,customer,CF3,CF3 0FA,-3.102201,51.52195
C_197,customer,CF64,CF64 1ED,-3.174739,51.439886
C_198,customer,CF14,CF14 0NB,-3.179216,51.521453
C_199,customer,CF23,CF23 5DX,-3.157385,51.4967
C_200,customer,CF64,CF64 1EZ,-3.177537,51.441809
C_201,customer,CF3,CF3 0DQ,-3.097408,51.530043
C_202,customer,CF10,CF10 1GF,-3.177984,51.477081
C_203,customer,CF3,CF3 0DG,-3.104292,51.527964
C_204,customer,CF14,CF14 0AL,-3.163015,51.538384
C_205,customer,CF64,CF64 1BG,-3.167641,51.441953
C_206,customer,CF14,CF14 0AY,-3.180987,51.543627
C_207,customer,CF24,CF24 0DD,-3.167194,51.483654
C_208,customer,CF3,CF3 0HF,-3.096214,51.52474
C_209,customer,CF5,CF5 1GJ,-3.213037,51.48701
C_210,customer,CF11,CF11 0JT,-3.180348,51.453165
C_211,customer,CF14,CF14 0PJ,-3.138499,51.542302
C_212,customer,CF5,CF5 1FJ,-3.20822,51.485136
C_213,customer,CF11,CF11 0JZ,-3.179059,51.448376
C_214,customer,CF5,CF5 1AB,-3.227891,51.486091
C_215,customer,CF11,CF11 0TA,-3.184852,51.448138
C_216,customer,CF5,CF5 1DY,-3.217616,51.486963
C_217,customer,CF64,CF64 1BT,-3.172627,51.44559
C_218,customer,CF11,CF11 0SR,-3.186417,51.454111
C_219,customer,CF24,CF24 0AE,-3.163305,51.485914
C_220,customer,CF24,CF24 0FB,-3.1703,51.482921
C_221,customer,CF23,CF23 5AE,-3.155928,51.495464
C_222,customer,CF23,CF23 5DJ,-3.161018,51.496816
C_223,customer,CF5,CF5 1BU,-3.221802,51.485148
C_224,customer,CF3,CF3 0EJ,-3.089934,51.524951
C_225,customer,CF14,CF14 0LW,-3.179648,51.5209
C_226,customer,CF24,CF24 0UG,-3.16828,51.481062
C_227,customer,CF24,CF24 0AD,-3.16443,51.485399
C_228,customer,CF23,CF23 5DG,-3.161434,51.497873
C_229,customer,CF64,CF64 1EP,-3.173726,51.440193
C_230,customer,CF24,CF24 0EZ,-3.162149,51.480665
C_231,customer,CF10,CF10 1FL,-3.176093,51.477441
C_232,customer,CF64,CF64 1HB,-3.178704,51.44186
C_233,customer,CF64,CF64 1BF,-3.175258,51.442174
C_234,customer,CF23,CF23 5AW,-3.154478,51.493383
C_235,customer,CF14,CF14 0AB,-3.159611,51.53554
C_236,customer,CF5,CF5 1AW,-3.207615,51.483487
C_237,customer,CF3,CF3 0GA,-3.10106,51.526025
C_238,customer,CF3,CF3 0EB,-3.099296,51.525206
C_239,customer,CF14,CF14 0AH,-3.170017,51.537047
C_240,customer,CF3,CF3 0FP,-3.100221,51.523542
C_241,customer,CF10,CF10 1BT,-3.182044,51.480933
C_242,customer,CF24,CF24 0JX,-3.160231,51.485099
C_243,customer,CF23,CF23 5DH,-3.161921,51.497194
C_244,customer,CF3,CF3 0AJ,-3.110898,51.523361
C_245,customer,CF14,CF14 0BG,-3.177338,51.534132
C_246,customer,CF3,CF3 0BA,-3.108887,51.522481
C_247,customer,CF23,CF23 5AH,-3.15478,51.495637
C_248,customer,CF64,CF64 1FA,-3.178273,51.441325
C_249,customer,CF3,CF3 0BG,-3.106979,51.521051
C_250,customer,CF24,CF24 0JL,-3.161924,51.48144
